impl,repeat,trials,visited,time_total_ms_median,conversion_ms_median,time_bfs_only_ms_median,time_per_bfs_ms_median
pointer,1,7,20000,0.06,0.0,0.06,0.06
pointer,2,7,20000,0.07,0.0,0.07,0.035
pointer,5,7,20000,0.16,0.0,0.16,0.032
pointer,10,7,20000,0.33,0.0,0.33,0.033
pointer,20,7,20000,0.63,0.0,0.63,0.0315
pointer,50,7,20000,1.59,0.0,1.59,0.0318
pointer,100,7,20000,3.21,0.0,3.21,0.0321
pointer,200,7,20000,6.32,0.0,6.32,0.0316
pointer,500,7,20000,15.97,0.0,15.97,0.03194
pointer,1000,7,20000,31.62,0.0,31.62,0.03162
csr,1,7,20000,0.08,0.05,0.03,0.03
csr,2,7,20000,0.1,0.05,0.05,0.025
csr,5,7,20000,0.16,0.05,0.11,0.022
csr,10,7,20000,0.27,0.05,0.22000000000000003,0.022000000000000002
csr,20,7,20000,0.49,0.05,0.44,0.022
csr,50,7,20000,1.15,0.05,1.0999999999999999,0.022
csr,100,7,20000,2.24,0.05,2.1900000000000004,0.021900000000000003
csr,200,7,20000,4.44,0.05,4.390000000000001,0.021950000000000004
csr,500,7,20000,11.36,0.05,11.309999999999999,0.022619999999999998
csr,1000,7,20000,22.23,0.05,22.18,0.02218
